0: Spielidee; []
491: Kauft man Plättchen so darf man von jeder Art weiterhin nur 1; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
492: zum Preis von 2 Talern kaufen möchte man von einer Art weitere Plättchen kaufen erhöht sich der Preis ab dem zweiten Plättchen auf 4 Taler.; [1492: Siegbedingung, ]
493: Kauft man alle 4 Plättchen so erhält man 1 zusätzliches Plättchen kostenlos.; [8528: Siegpunkte, 73230: Symmetrische Startbedingung, 1492: Siegbedingung, ]
494: Hat man seine Extra Aktion durchgeführt legt man das Plättchen zurück in die Schachtel.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
495: Wichtig; []
496: Das Aktions plättchen auf dem Spielplan hat mit der nichts zu tun.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
497: Die bewirkt nicht dass das entsprechende Aktionsplättchen umgedreht wird und es kann auch eine Aktion ausgeführt werden deren Aktionsplättchen bereits umgedreht ist!; [8536: Aktionspunkte, ]
498: Hinweis; []
499: Es ist meist sinnvoll die für die letzte Runde aufzubewahren damit man auf eine ungünstige Reihenfolge bei der Auswahl der Aktionen noch reagieren kann.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
500: Belohnungen für fertige Schiffe; [8536: Aktionspunkte, ]
501: Sobald ein Spieler ein Schiff fertigstellt erhält er sofort so viele Belohnungen wie das Schiff Masten hat.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
502: 6 verschiedene Belohnungen Kronenmast; []
503: Der Spieler erhält 1 Kronen mast.; [8528: Siegpunkte, 1492: Siegbedingung, ]
504: Kronensegel; []
505: Der Spieler erhält 1 Kronen segel.; [8528: Siegpunkte, 1492: Siegbedingung, ]
506: 7 Taler; []
507: Der Spieler erhält 7 Taler.; [8528: Siegpunkte, 1492: Siegbedingung, ]
508: 3 Siegpunkte; []
509: Der Spieler erhält 3 Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
510: 3 Arbeiter; []
511: Der Spieler erhält 3 Arbeiter.; [8528: Siegpunkte, 1492: Siegbedingung, ]
512: 2 Waren; []
513: Der Spieler erhält 2 verschiedene Waren.; [8528: Siegpunkte, 1492: Siegbedingung, ]
514: Jede Belohnung kann je Schiff maximal ausgewählt werden.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
515: Erhaltene Belohnungen kann der Spieler ggf. sofort nutzen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
516: Einmal im Spiel kann jeder Spieler während seines Zuges zusätzlich eine ausführen.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
517: Der Spieler gibt das Plättchen ab erhält 2 Arbeiter aus dem aktuellen Vor rat und führt eine beliebige der 8 Aktionen aus.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
518: Bei kostenpflichtigen Aktionen beträgt der Grundpreis je Schiffsteil Ware 2 Taler.; [8536: Aktionspunkte, ]
519: Alle anderen Regeln für das Ausführen einer Aktion bleiben erhalten.; [8536: Aktionspunkte, ]
520: 10 6. Ende einer Aktionsphase Sobald; [164466: Loswerden, 1492: Siegbedingung, ]
521: alle Spieler die vom Startspieler gewählte Aktion ausgeführt haben ist eine Aktions phase beendet.; [73230: Symmetrische Startbedingung, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
522: Der Startspieler dreht das Aktionsplättchen auf die Rückseite die Aktion steht in dieser Runde nicht mehr zur Verfügung außer als Am Ende der jeweils ersten Aktionsphase einer Runde wird das Ankerplättchen auf das jetzt verdeckt liegende Aktions plättchen gelegt siehe unten Rundenende; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
523: Dort bleibt es bis zum Rundenende liegen.; []
524: Der Startspieler gibt die Startspielerfigur an den nächsten Spieler im Uhrzeigersinn.; [164466: Loswerden, ]
525: Liegen noch 2 oder mehr Aktionsplättchen offen beginnt dieser die nächste Aktionsphase und wählt eine Aktion aus.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
526: Nach 7 Aktionsphasen liegt nur noch 1 Aktionsplättchen offen und die Runde ist zu Ende.; [1492: Siegbedingung, ]
527: Ende der Aktionsphase; []
528: Eine Aktionsphase endet sobald jeder Spieler die Aktion ausgeführt oder gepasst hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
529: Das Aktionsplättchen wird umgedreht.; []
530: Nach 1. Aktionsphase je Runde; [8528: Siegpunkte, 1492: Siegbedingung, ]
531: Ankerplättchen auf das umgedrehte Aktionsplättchen legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
532: Startspielerfigur weitergeben.; []
533: Neuer Startspieler beginnt neue Aktionsphase bzw. führt Rundenende durch.; [8536: Aktionspunkte, ]
534: Rundenende; []
535: Rundenende Sobald; []
536: 7 Aktionsphasen durchgeführt wurden und nur noch 1 Aktionsplättchen offen liegt endet die Runde.; [1492: Siegbedingung, ]
537: Die übrige 8. Aktion wird in dieser Runde nicht ausgeführt.; []
538: Dann werden die der Spieler ausgewertet.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
539: Jeder Spieler verliert nun Sieg punkte entsprechend der nicht umgedrehten und geht entsprechend auf der Siegpunktleiste zurück.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
540: Im unwahrscheinlichen Fall dass ein Spieler unter 0 Siegpunkte rutscht können die Punkte auch ins Negative gehen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
541: Danach werden alle wieder auf die Seite gedreht die Minuspunkte anzeigt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 7090: Kooperative Spielform, ]
542: Jeder Spieler startet also mit potenziellen 6 Minuspunkten und ohne Kronen in die nächste Runde.; [1292: Zufall, 8528: Siegpunkte, 73230: Symmetrische Startbedingung, 164466: Loswerden, 1492: Siegbedingung, ]
543: Der Rundenmarker wird ein Feld vorangesetzt.; [7090: Kooperative Spielform, ]
544: Spielende beachten.; [8528: Siegpunkte, ]
545: Ist noch mindestens 1 weitere Runde zu spielen wird die Drehscheibe neu ausgerichtet und zwar so dass der Anker auf der Drehscheibe auf das Aktionsfeld zeigt auf dem das Aktions plättchen mit dem Ankerplättchen liegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
546: Sobald die Drehscheibe neu ausgerichtet ist legt der Startspieler das Ankerplättchen neben den Spielplan nimmt; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
547: alle 8 Aktionsplättchen mischt sie und legt sie zufällig offen auf die beginnend beim Feld neben dem Anker auf der Drehscheibe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
548: Nun beginnt der Startspieler die neue Runde in dem er aus den 8 Aktionen eine auswählt.; [3173: Gemeinsames Spielfeld, ]
549: Hinweis; []
550: Es gibt kein stetiges Einkommen an Talern oder Arbeitern die Spieler müssen mit dem Startkapital und dem was sie über die Aktionen Belohnungen und Boni erhalten auskommen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
551: Die Runde endet nach 7 Aktionsphasen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
552: auswerten; []
553: Jeder Spieler verliert Siegpunkte gemäß nicht umgedrehter Negative; [8528: Siegpunkte, 1492: Siegbedingung, ]
554: Siegpunktzahl ist möglich.; [8528: Siegpunkte, ]
555: Danach Alle auf die Seite mit Minuspunkten zurückdrehen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 7090: Kooperative Spielform, ]
556: Rundenmarker weitersetzen ggf.; []
557: Spielende; []
558: Drehscheibe neu ausrichten Anker auf Drehscheibe; [1292: Zufall, ]
559: zeigt auf Aktionsplättchen mit Ankerplättchen.; []
560: Dann; []
561: Startspieler mischt Aktionsplättchen und legt sie neu aus beginnend mit dem Feld beim Anker auf der Drehscheibe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
562: Spielende Spielende; []
563: Das Spiel endet nach der 5. Runde im Spiel zu dritt und viert bzw. nach der 4. Runde im Spiel zu zweit.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
564: Jetzt erhalten alle Spieler Siegpunkte für ihre fertiggestellten Schiffe und für die aus gelieferten Waren.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
565: Aber auch übrige Taler nicht eingesetzte Arbeiter Schiffsteile unfertiger Schiffe in der Werft und im Lager sowie nicht ausgelieferte Waren sind noch etwas wert.; [1492: Siegbedingung, ]
566: Eine Übersicht der zu vergebenden Siegpunkte ist auf der runden Übersichtsscheibe bzw. für die gelieferten Waren auf den Lagern zu finden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
567: Das Spiel endet nach der 5. Runde bzw. nach der 4. Runde im Spiel zu zweit Siegpunkte werden Übersichts scheibe bzw. für gelieferte Waren Lager verteilt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
568: Siegpunkte für ausgelieferte Waren; [8528: Siegpunkte, 1492: Siegbedingung, ]
569: Die ausgelieferten Waren werden nach ihrer Art in Sets zusammengefasst.; []
570: Je Set aus gleichen Waren erhält der Spieler folgende Siegpunkte Set aus 1 Ware; [8528: Siegpunkte, 1492: Siegbedingung, ]
571: 2 Siegpunkte Set aus 2 Waren; [8528: Siegpunkte, 1492: Siegbedingung, ]
572: 5 Siegpunkte Set aus 3 Waren; [8528: Siegpunkte, 1492: Siegbedingung, ]
573: 9 Siegpunkte Set aus 4 Waren 14 Siegpunkte Set aus 5 Waren 20 Siegpunkte; [8528: Siegpunkte, 1492: Siegbedingung, ]
574: Für jede weitere Ware eines Sets erhöhen sich die Siegpunkte um zusätzliche 5 Punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
575: Waren Ausgelieferte Waren in Sets zusammen fassen.; []
576: Sets bringen für 1 2 3 4 5 Waren 2 5 9 14 20 Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
577: Ab der 6. Ware erhöht sich der um 5 Punkte je zusätzlicher Ware.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
578: Siegpunkte für fertige Schiffe; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
579: Für jedes fertige Schiff erhält der Spieler folgende Siegpunkte abhängig von der Größe des Schiffs 2 Siegpunkte 8 Siegpunkte 20 Siegpunkte 35 Siegpunkte Siegpunkte für restliches Material; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
580: Danach werden alle nicht eingesetzten Arbeiter Schiffsteile unfertiger Schiffe in der Werft und im Lager sowie nicht ausgelieferte Waren in je 1 Taler umgetauscht.; []
581: Für je 3 Taler die der Spieler nun besitzt erhält er 1 Siegpunkt. verfallen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
582: Die Spieler behalten hier bei aber ihre gesamten Taler da diese ggf. noch als bei Punktegleichstand zählen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
583: Wer jetzt die meisten Siegpunkte besitzt gewinnt diese Partie; [8528: Siegpunkte, 1492: Siegbedingung, ]
584: Bei Punkte gleichstand gewinnt der Spieler mit dem meisten Restgeld 0 1 oder 2; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
585: Taler Herrscht auch hier Gleichstand gewinnt der Spieler der insgesamt noch am meisten Taler hat also inklusive der Taler für die er bereits Siegpunkte erhalten hat.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
586: Herrscht auch hier Gleichstand teilen sich die betroffenen Spieler die entsprechende Platzierung.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
587: Fertige Schiffe; []
588: Jedes fertige Schiff bringt Siegpunkte 2 Siegpunkte; [8528: Siegpunkte, 1492: Siegbedingung, ]
589: 8 Siegpunkte 20 Siegpunkte 35 Siegpunkte; [8528: Siegpunkte, 1492: Siegbedingung, ]
590: Restliches Material; []
591: Übrige Schiffsteile und Waren in Lager und Werft sowie Arbeiter sind je 1 Taler wert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
592: Für je 3 Taler erhält man 1 Siegpunkt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
593: Der Spieler mit den meisten gewinnt bei Gleichstand entscheiden die restlichen Taler.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
594: Beispiel für die Schlussabrechnung Siegpunkte für ausgelieferte Waren; [8528: Siegpunkte, 1492: Siegbedingung, ]
595: Das Set mit 2 Getreide ist 5 Siegpunkte wert; [8528: Siegpunkte, 1492: Siegbedingung, ]
596: das ist 9 Siegpunkte wert und das 25 Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
597: Insgesamt erhält der Spieler für seine ausgelieferten Waren 39 Siegpunkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
598: 4 4 4 Siegpunkte für fertige Schiffe; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
599: Der Spieler die 3 fertigen insgesamt 6 Siegpunkte 3 2 für das fertige; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
600: er hält er 8 Siegpunkte für das fertige 20 Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
601: Insgesamt erhält der Spieler für seine fertigen Schiffe 34 Siegpunkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
602: Siegpunkte restliches Material; [8528: Siegpunkte, 1492: Siegbedingung, ]
603: Der Spieler besitzt noch 2 Arbeiter und 3 Plättchen im Lager.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
604: Hierfür erhält er 5 Taler.; [8528: Siegpunkte, 1492: Siegbedingung, ]
605: Für die Schiffsteile der nicht fertiggestellten Schiffe 3 Rumpfteile 1; [8536: Aktionspunkte, ]
606: Mast; []
607: 1 Segel erhält er ebenfalls; [8528: Siegpunkte, 1492: Siegbedingung, ]
608: 5 Taler für die nicht ausgelieferten Waren erhält er 3 Taler.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
609: Insgesamt erhält der Spieler 13 Taler für übriges Material das er zu seinem Restgeld von 8 Talern addiert.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
610: In der Summe sind das 21 Taler für die der Spieler weitere 7 Siegpunkte erhält.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
611: Er behält die 21 Taler da diese ggf. als bei einem Punktegleichstand zählen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
612: Impressum 2013 Verlags GmbH Co. KG Art.; []
613: Nr.; []
614: 692131 Autoren Wolfgang Kramer Michael Illustration Alexander Jung; []
615: Alle Rechte vorbehalten.; [164466: Loswerden, ]
616: Redaktion Sebastian und Bärbel; []
617: Schmidts Grafik Michaela MADE; []
618: IN GERMANY; []
619: 12; []
